land_use_class,lst_mean_c,lst_min_c,lst_max_c,lst_std_c,pixel_count
Agricultural zone,299.48,294.0,303.67999267578125,2.0290948800641453,50.0
Area of cultural and archaeological importance,299.7300448430493,291.6400146484375,304.8999938964844,2.680360620263868,1115.0
Area of mines and minerals,296.0400085449219,296.0400085449219,296.0400085449219,0.0,1.0
Forest zone,295.37707322006474,289.5199890136719,302.5400085449219,2.7598967306449707,309.0
Industrial zone,300.8800048828125,300.5,301.260009765625,0.3800048828125,2.0
Public use zone,303.0280029296875,301.0400085449219,304.739990234375,1.1479049769256422,10.0
Residential zone,300.23414522058823,295.9599914550781,303.5199890136719,1.990918900342324,34.0
