land_use_class,lst_mean_c,lst_min_c,lst_max_c,lst_std_c,pixel_count
Agricultural zone,-267.14724609375,-267.26220703125,-267.0596008300781,0.043435728085006654,50.0
Area of cultural and archaeological importance,-267.1394058295964,-267.2921142578125,-267.0332946777344,0.05146738669843381,1115.0
Area of mines and minerals,-267.21710205078125,-267.21710205078125,-267.21710205078125,0.0,1.0
Forest zone,-267.22372159090907,-267.3128967285156,-267.0851135253906,0.0503052053074688,308.0
Industrial zone,-267.12042236328125,-267.1299133300781,-267.11090087890625,0.009506237832148764,2.0
Public use zone,-267.0736572265625,-267.1080017089844,-267.0364074707031,0.024600170700011144,10.0
Residential zone,-267.13330078125,-267.2174072265625,-267.0653991699219,0.04119501433722756,34.0
