year,land_use_class,r_squared,slope,n_pixels
2025,Agricultural zone,0.02013218887841944,-2.896465298783184,203496
2025,Residential zone,0.024471767913289356,-3.088533023059007,154352
2025,Commercial zone,0.06944259288521737,-3.6519218744353843,3567
2025,Industrial zone,0.22407410217812862,-8.833563104499337,5803
2025,Forest zone,0.009926998248470417,-1.8082042349076317,1317958
2025,Public use zone,0.07041871585429373,-3.550029439031491,46686
2025,Area of cultural and archaeological importance,0.32695591250272216,-9.367495854124535,4434248
2025,Area of mines and minerals,0.022719918036047206,3.6428921650567956,1113
